0:0:0:0:0:0:0:1 - - [05/Oct/2016:15:53:40 +0100] "GET /GestionS/resources/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Oct/2016:15:53:40 +0100] "GET /GestionS/resources/js/jquery-2.1.4.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Oct/2016:15:53:40 +0100] "GET /GestionS/resources/css/styles.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Oct/2016:15:53:40 +0100] "GET /GestionS/resources/css/simple-sidebar.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Oct/2016:15:53:40 +0100] "GET /GestionS/resources/js/script.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Oct/2016:15:53:42 +0100] "GET /GestionS/resources/images/logoSB.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Oct/2016:15:53:43 +0100] "POST /GestionS/admin/getProjet HTTP/1.1" 200 172
0:0:0:0:0:0:0:1 - - [05/Oct/2016:15:53:45 +0100] "POST /GestionS/tacheA/getAll HTTP/1.1" 200 226
0:0:0:0:0:0:0:1 - - [05/Oct/2016:15:53:50 +0100] "POST /GestionS/admin/getProjet HTTP/1.1" 200 146
0:0:0:0:0:0:0:1 - - [05/Oct/2016:15:54:02 +0100] "POST /GestionS/admin/getProjet HTTP/1.1" 200 159
0:0:0:0:0:0:0:1 - - [05/Oct/2016:15:54:24 +0100] "POST /GestionS/admin/getProjet HTTP/1.1" 200 172
0:0:0:0:0:0:0:1 - - [05/Oct/2016:15:54:35 +0100] "POST /GestionS/admin/getProjet HTTP/1.1" 200 159
0:0:0:0:0:0:0:1 - - [05/Oct/2016:15:54:41 +0100] "GET /GestionS/admin/projets? HTTP/1.1" 200 9817
0:0:0:0:0:0:0:1 - - [05/Oct/2016:15:54:41 +0100] "GET /GestionS/resources/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Oct/2016:15:54:41 +0100] "GET /GestionS/resources/js/jquery-2.1.4.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Oct/2016:15:54:41 +0100] "GET /GestionS/resources/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Oct/2016:15:54:41 +0100] "GET /GestionS/resources/css/styles.css HTTP/1.1" 304 -
